country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Albania,123,,5,,10,108,2,43
Burkina Faso,114,,4,,7,103,,5
Tunisia,114,,4,,1,109,11,10
Ukraine,113,+11,4,+1,1,108,,3
Malta,110,,,,2,108,1,249
Brunei ,104,,,,2,102,2,238
Sri Lanka,102,,,,3,99,2,5
Oman,99,+15,,,17,82,,19
Réunion,94,,,,1,93,,105
Cambodia,93,+2,,,4,89,1,6
Venezuela,91,+7,,,15,76,2,3
Azerbaijan,87,,1,,10,76,6,9
Belarus,86,+5,,,29,57,2,9
Senegal,86,,,,8,78,,5
Kazakhstan,79,+7,,,,79,,4
Afghanistan,74,,2,+1,1,71,,2
Guadeloupe,73,,1,,,72,4,182
Georgia,73,+3,,,10,63,1,18
Ivory Coast,73,,,,2,71,,3
Cameroon,66,,1,,2,63,,2
Palestine,60,,,,16,44,,12
Martinique,57,,1,,,56,7,152
Trinidad and Tobago,57,,,,,57,,41
Uzbekistan,55,+5,,,,55,4,2
Ghana,53,,2,,,51,,2
Montenegro,52,+5,1,,,51,,83
Liechtenstein,51,,,,,51,,"1,338"
Mauritius,48,+6,2,,,46,1,38
Cuba,48,,1,,1,46,2,4
Nigeria,46,+2,1,,2,43,,0.2
DRC,45,,2,,,43,,0.5
Kyrgyzstan,42,,,,,42,,6
Rwanda,40,,,,,40,,3
Bangladesh,39,,5,+1,7,27,,0.2
Paraguay,37,+10,3,+1,,34,1,5
Channel Islands,36,,,,,36,,207
Honduras,36,+6,,,,36,,4
Mayotte,36,,,,,36,,132
Bolivia,32,+3,,,,32,,3
Macao,29,,,,10,19,,45
Jamaica,25,+4,1,,2,22,,8
French Polynesia,25,,,,,25,,89
Kenya,25,,,,,25,,0.5
Monaco,23,,,,1,22,,586
French Guiana,23,,,,6,17,,77
Isle of Man,23,,,,,23,,270
Guatemala,21,,1,,,20,,1
Togo,20,,,,1,19,,2
Madagascar,19,+2,,,,19,,0.7
Barbados,18,,,,,18,,63
Aruba,17,,,,1,16,,159
Gibraltar,15,,,,5,10,,445
New Caledonia,14,+4,,,,14,,49
Maldives,13,,,,5,8,,24
Ethiopia,12,,,,,12,,0.1
Tanzania,12,,,,,12,,0.2
Mongolia,10,,,,,10,,3
El Salvador,9,+4,,,,9,,1
Equatorial Guinea,9,,,,,9,,6
Uganda,9,,,,,9,,0.2
Saint Martin,8,,,,,8,,207
Niger,7,+4,1,+1,,6,,0.3
Dominica,7,,,,,7,,97
Haiti,7,,,,,7,,0.6
Namibia,7,,,,2,5,,3
Seychelles,7,,,,,7,,71
Suriname,7,,,,,7,,12
Cayman Islands,6,,1,,,5,,91
Curaçao,6,,1,,,5,,37
Gabon,6,,1,,,5,,3
Benin,6,,,,,6,,0.5
Bermuda,6,,,,,6,,96
Guyana,5,,1,,,4,,6
Bahamas,5,,,,1,4,,13
Fiji,5,+1,,,,5,,6
Greenland,5,,,,2,3,,88
Congo,4,,,,,4,,0.7
Guinea,4,,,,,4,,0.3
Vatican City,4,,,,,4,,"4,994"
Eswatini,4,,,,,4,,3
Cabo Verde,3,,1,,,2,,5
Gambia,3,,1,,,2,,1
Sudan,3,,1,,,2,,0.07
Zimbabwe,3,,1,,,2,,0.2
Nepal,3,+1,,,1,2,,0.1
Angola,3,,,,,3,,0.09
Antigua and Barbuda,3,,,,,3,,31
CAR,3,,,,,3,,0.6
Chad,3,,,,,3,,0.2
Djibouti,3,,,,,3,,3
Liberia,3,,,,,3,,0.6
Mozambique,3,,,,,3,,0.10
Myanmar,3,,,,,3,,0.06
St. Barth,3,,,,,3,,304
Saint Lucia,3,,,,,3,,16
Zambia,3,,,,,3,,0.2
Bhutan,2,,,,,2,,3
Laos,2,,,,,2,,0.3
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
Sint Maarten,2,,,,,2,,47
Belize,1,,,,,1,,3
Eritrea,1,,,,,1,,0.3
Grenada,1,,,,,1,,9
Libya,1,,,,,1,,0.1
Montserrat,1,,,,,1,,200
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Somalia,1,,,,,1,,0.06
Syria,1,,,,,1,,0.06
Timor-Leste,1,,,,,1,,0.8
Turks and Caicos,1,,,,,1,,26
