country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Saudi Arabia,"1,012",,3,,33,976,6,29
South Africa,927,,2,+2,12,913,7,16
Greece,892,,27,,42,823,53,86
Philippines,803,+96,54,+9,31,718,1,7
Iceland,802,,2,,82,718,11,"2,350"
India,798,+71,20,,73,705,,0.6
Diamond Princess,712,,10,,597,105,15,
Singapore,683,,2,,172,509,17,117
Panama,674,,9,,2,663,20,156
Slovenia,632,+70,9,+3,10,613,14,304
Argentina,589,,12,,72,505,,13
Mexico,585,+110,8,+2,4,573,1,5
Peru,580,,9,,14,557,14,18
Estonia,575,+37,1,,11,563,7,433
Croatia,551,+56,3,,37,511,14,134
Qatar,549,,,,43,506,6,191
Hong Kong,518,+64,4,,111,403,5,69
Egypt,495,,24,,102,369,,5
Colombia,491,,6,,8,477,,10
Dominican Republic,488,,10,,3,475,,45
Bahrain,466,+8,4,,227,235,1,274
Iraq,458,+76,40,+4,122,296,,11
Serbia,457,,8,+1,15,434,21,52
Lebanon,391,+23,7,+1,23,361,3,57
New Zealand,368,,,,37,331,1,76
Algeria,367,,25,,29,313,,8
Lithuania,345,+46,5,+1,1,339,2,127
UAE,333,,2,,52,279,2,34
Armenia,329,+39,1,,28,300,6,111
Hungary,300,+39,10,,34,256,6,31
Latvia,280,+36,,,1,279,,148
Bulgaria,276,+12,3,,9,264,8,40
Morocco,275,,11,,8,256,1,7
Slovakia,269,+43,,,2,267,1,49
Taiwan,267,+15,2,,30,235,,11
Uruguay,238,,,,,238,3,69
Costa Rica,231,,2,,2,227,5,45
Bosnia and Herzegovina,230,+39,3,,5,222,1,70
Tunisia,227,+30,6,+1,2,219,10,19
Ukraine,226,+30,5,,4,217,,5
Kuwait,225,+17,,,57,168,11,53
Andorra,224,,3,,1,220,6,"2,899"
North Macedonia,219,+18,3,,3,213,1,105
Jordan,212,,,,2,210,,21
San Marino,208,,21,,4,183,12,"6,130"
Albania,186,+12,8,+2,31,147,3,65
Moldova,177,,2,+1,2,173,33,44
Vietnam,163,+10,,,20,143,3,2
Burkina Faso,152,,7,,10,135,,7
Cyprus,146,,3,,4,139,3,121
Faeroe Islands,144,+4,,,54,90,2,"2,947"
Malta,139,+5,,,2,137,1,315
Ghana,136,+4,4,,1,131,1,4
Réunion,135,,,,1,134,,151
Oman,131,+22,,,23,108,,26
Kazakhstan,125,+12,1,,2,122,,7
Azerbaijan,122,,3,,15,104,6,12
Senegal,119,+14,,,11,108,,7
Brunei ,115,+1,,,11,104,1,263
Venezuela,107,,1,,31,75,2,4
Sri Lanka,106,,,,7,99,5,5
Cambodia,99,+1,,,11,88,1,6
Ivory Coast,96,,,,3,93,,4
Afghanistan,94,,4,,2,88,,2
Belarus,94,+8,,,32,62,2,10
Palestine,91,+5,1,,17,73,,18
Cameroon,88,+13,2,+1,2,84,,3
Uzbekistan,83,+8,1,+1,5,77,8,2
Mauritius,81,,2,,,79,1,64
Martinique,81,,1,,,80,12,216
Georgia,81,+2,,,13,68,1,20
Guadeloupe,73,,1,,,72,4,182
Montenegro,70,+1,1,,,69,1,111
Honduras,68,+1,1,,,67,,7
Cuba,67,,2,,1,64,2,6
Channel Islands,66,,1,,,65,,380
Nigeria,65,,1,,3,61,,0.3
Trinidad and Tobago,65,,1,,,64,,46
Bolivia,61,,,,,61,,5
Kyrgyzstan,58,+14,,,,58,,9
Liechtenstein,56,,,,,56,,"1,469"
Paraguay,52,+11,3,,1,48,1,7
DRC,51,,3,,2,46,,0.6
Mayotte,50,+14,,,,50,,183
Rwanda,50,,,,,50,,4
Bangladesh,48,+4,5,,11,32,1,0.3
Gibraltar,35,,,,13,22,,"1,039"
Macao,33,,,,10,23,,51
Monaco,33,,,,1,32,,841
Kenya,31,,1,,1,29,,0.6
French Polynesia,30,,,,,30,,107
Isle of Man,29,+3,,,,29,,341
Aruba,28,,,,1,27,,262
French Guiana,28,,,,6,22,,94
Jamaica,26,,1,,2,23,,9
Guatemala,25,,1,,4,20,,1
Togo,25,+1,,,1,24,,3
Barbados,24,,,,,24,,84
Madagascar,24,+1,,,,24,,0.9
Uganda,18,+4,,,,18,,0.4
Ethiopia,16,+4,,,,16,,0.1
Zambia,16,,,,,16,,0.9
Bermuda,15,,,,2,13,,241
New Caledonia,15,+1,,,,15,,53
Maldives,14,+1,,,9,5,,26
El Salvador,13,,,,,13,,2
Tanzania,13,,,,,13,,0.2
Djibouti,12,+1,,,,12,,12
Equatorial Guinea,12,,,,,12,,9
Dominica,11,,,,,11,,153
Mongolia,11,,,,,11,,3
Saint Martin,11,,,,,11,,284
Niger,10,,1,,,9,,0.4
Bahamas,9,,,,1,8,,23
Greenland,9,+3,,,2,7,,159
Cayman Islands,8,,1,,,7,,122
Guinea,8,+4,,,,8,,0.6
Haiti,8,,,,,8,,0.7
Namibia,8,,,,2,6,,3
Suriname,8,,,,,8,,14
Curaçao,7,,1,,2,4,,43
Gabon,7,,1,,,6,,3
Antigua and Barbuda,7,,,,,7,,71
Grenada,7,,,,,7,,62
Mozambique,7,,,,,7,,0.2
Seychelles,7,,,,,7,,71
Benin,6,,,,,6,,0.5
Eritrea,6,,,,,6,,2
Laos,6,,,,,6,,0.8
Eswatini,6,,,,,6,,5
Cabo Verde,5,,1,,,4,,9
Guyana,5,,1,,,4,,6
Zimbabwe,5,+2,1,,,4,,0.3
Fiji,5,,,,,5,,6
Montserrat,5,,,,,5,,"1,002"
Myanmar,5,,,,,5,,0.09
Syria,5,,,,,5,,0.3
Angola,4,,,,,4,,0.1
Congo,4,,,,,4,,0.7
Vatican City,4,,,,,4,,"4,994"
Mali,4,,,,,4,,0.2
Gambia,3,,1,,,2,,1
Sudan,3,,1,,,2,,0.07
Nepal,3,,,,1,2,,0.1
Bhutan,3,+1,,,,3,,4
CAR,3,,,,,3,,0.6
Chad,3,,,,,3,,0.2
Liberia,3,,,,,3,,0.6
Mauritania,3,,,,,3,,0.6
St. Barth,3,,,,,3,,304
Saint Lucia,3,,,,1,2,,16
Sint Maarten,3,,,,,3,,70
Somalia,3,+1,,,,3,,0.2
Nicaragua,2,,1,+1,,1,,0.3
Anguilla,2,,,,,2,,133
Belize,2,,,,,2,,5
British Virgin Islands,2,,,,,2,,66
Guinea-Bissau,2,,,,,2,,1
Saint Kitts and Nevis,2,,,,,2,,38
Turks and Caicos,2,,,,,2,,52
Libya,1,,,,,1,,0.1
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Timor-Leste,1,,,,,1,,0.8
