country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Greenland,4,,,,,4,,70
Guinea,4,+2,,,,4,,0.3
Eswatini,4,,,,,4,,3
Cayman Islands,3,,1,,,2,,46
Zimbabwe,3,,1,+1,,2,,0.2
Cabo Verde,3,,,,,3,,5
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,,,,,3,,0.5
Fiji,3,+1,,,,3,,3
Liberia,3,,,,,3,,0.6
Namibia,3,,,,,3,,1
St. Barth,3,,,,,3,,304
Saint Lucia,3,+1,,,,3,,16
Zambia,3,,,,,3,,0.2
Gambia,2,+1,1,+1,,1,,0.8
Sudan,2,,1,,,1,,0.05
Nepal,2,+1,,,1,1,,0.07
Angola,2,,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bhutan,2,,,,,2,,3
Mauritania,2,,,,,2,,0.4
Myanmar,2,+2,,,,2,,0.04
Nicaragua,2,,,,,2,,0.3
Niger,2,,,,,2,,0.08
Sint Maarten,2,+1,,,,2,,47
Antigua and Barbuda,1,,,,,1,,10
Belize,1,+1,,,,1,,3
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
Dominica,1,,,,,1,,14
Eritrea,1,,,,,1,,0.3
Grenada,1,,,,,1,,9
Vatican City,1,,,,,1,,"1,248"
Montserrat,1,,,,,1,,200
Mozambique,1,,,,,1,,0.03
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Somalia,1,,,,,1,,0.06
Syria,1,,,,,1,,0.06
Timor-Leste,1,,,,,1,,0.8
Turks and Caicos,1,+1,,,,1,,26
Uganda,1,,,,,1,,0.02
