country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
Gambia,4,,1,,2,1,,2
Sao Tome and Principe,4,,,,,4,,18
Western Sahara,4,,,,,4,,7
Anguilla,3,,,,,3,,200
British Virgin Islands,3,,,,,3,,99
Burundi,3,,,,,3,,0.3
Caribbean Netherlands,2,,,,,2,,76
Falkland Islands,2,,,,,2,,575
Papua New Guinea,2,,,,,2,,0.2
South Sudan,2,,,,,2,,0.2
Saint Pierre Miquelon,1,,,,,1,,173
Timor-Leste,1,,,,,1,,0.8
China,"81,802",+62,"3,333",+2,"77,279","1,190",189,57
